contract,category
10061409,Consultório Médico/Clínica
10066656,Consultório Médico/Clínica
10070532,Consultório Médico/Clínica
10071067,Consultório Médico/Clínica
10072845,Consultório Médico/Clínica
10073990,Consultório Médico/Clínica
10075291,Consultório Médico/Clínica
10078355,Consultório Médico/Clínica
10078592,Consultório Médico/Clínica
10089020,Consultório Médico/Clínica
10089543,Consultório Médico/Clínica
10091734,Consultório Médico/Clínica
10093982,Consultório Médico/Clínica
10094539,Consultório Médico/Clínica
10096582,Consultório Médico/Clínica
10097953,Consultório Médico/Clínica
10099824,Consultório Médico/Clínica
10100008,Consultório Médico/Clínica
10103821,Consultório Médico/Clínica
10111700,Consultório Médico/Clínica
10116982,Consultório Médico/Clínica
10125159,Consultório Médico/Clínica
10141251,Consultório Médico/Clínica
10141685,Consultório Médico/Clínica
10146822,Consultório Médico/Clínica
10176802,Consultório Médico/Clínica
10176802,Serviço De Terapia
10186492,Consultório Médico/Clínica
10187880,Consultório Médico/Clínica
10192620,Consultório Médico/Clínica
10201629,Consultório Médico/Clínica
10238409,Consultório Médico/Clínica
10239278,Consultório Médico/Clínica
10242732,Consultório Médico/Clínica
10254463,Consultório Médico/Clínica
10279822,Consultório Médico/Clínica
10281800,Consultório Médico/Clínica
10290770,Consultório Médico/Clínica
10308822,Consultório Médico/Clínica
10322345,Consultório Médico/Clínica
10325263,Consultório Médico/Clínica
10327584,Consultório Médico/Clínica
10327584,Serviço De Diagnóstico
10345590,Serviço De Terapia
10387943,Consultório Médico/Clínica
10391355,Consultório Médico/Clínica
10391797,Consultório Médico/Clínica
10391797,Serviço De Terapia
10392041,Consultório Médico/Clínica
10413103,Consultório Médico/Clínica
10441026,Consultório Médico/Clínica
12000230,Serviço De Terapia
12003182,Serviço De Terapia
19301477,Consultório Médico/Clínica
19301683,Consultório Médico/Clínica
19301868,Consultório Médico/Clínica
19301987,Consultório Médico/Clínica
19302032,Consultório Médico/Clínica
19302136,Consultório Médico/Clínica
19302466,Consultório Médico/Clínica
19302522,Consultório Médico/Clínica
19302683,Consultório Médico/Clínica
19302793,Consultório Médico/Clínica
19303525,Consultório Médico/Clínica
19304499,Serviço De Terapia
19304709,Consultório Médico/Clínica
19304856,Consultório Médico/Clínica
19305007,Consultório Médico/Clínica
19305011,Consultório Médico/Clínica
19305920,Serviço De Terapia
19305941,Consultório Médico/Clínica
19305972,Serviço De Terapia
19305984,Serviço De Terapia
19306097,Serviço De Terapia
19306265,Serviço De Terapia
19306393,Consultório Médico/Clínica
19306513,Serviço De Terapia
19306651,Serviço De Terapia
19306970,Consultório Médico/Clínica
19307076,Serviço De Terapia
19307230,Serviço De Terapia
19307256,Serviço De Terapia
19307297,Serviço De Terapia
19307311,Serviço De Terapia
19307337,Serviço De Terapia
19307397,Consultório Médico/Clínica
19307403,Consultório Médico/Clínica
20000017,Consultório Médico/Clínica
20000574,Serviço De Diagnóstico
20000590,Serviço De Diagnóstico
20001998,Serviço De Diagnóstico
20001999,Serviço De Diagnóstico
20002119,Serviço De Diagnóstico
20002232,Serviço De Diagnóstico
20002313,Serviço De Diagnóstico
20002364,Serviço De Diagnóstico
20002445,Serviço De Diagnóstico
20002470,Serviço De Diagnóstico
20002488,Serviço De Diagnóstico
20002500,Serviço De Diagnóstico
20002607,Serviço De Terapia
20002658,Serviço De Diagnóstico
20002763,Serviço De Diagnóstico
20002798,Serviço De Diagnóstico
20002941,Consultório Médico/Clínica
20002984,Serviço De Diagnóstico
20003439,Serviço De Diagnóstico
20003463,Serviço De Diagnóstico
20003471,Serviço De Diagnóstico
20003510,Serviço De Diagnóstico
20003552,Serviço De Diagnóstico
20003684,Serviço De Diagnóstico
20003730,Serviço De Diagnóstico
20003862,Serviço De Diagnóstico
20003870,Serviço De Diagnóstico
20003889,Serviço De Diagnóstico
20003935,Serviço De Diagnóstico
20004001,Serviço De Diagnóstico
20004095,Serviço De Diagnóstico
20004150,Serviço De Diagnóstico
20004273,Serviço De Diagnóstico
20004303,Serviço De Diagnóstico
20004400,Serviço De Diagnóstico
20004460,Consultório Médico/Clínica
20004460,Serviço De Diagnóstico
20004478,Consultório Médico/Clínica
20004478,Serviço De Diagnóstico
20004516,Serviço De Diagnóstico
20004524,Serviço De Diagnóstico
20004591,Serviço De Diagnóstico
20004621,Serviço De Diagnóstico
20004630,Serviço De Diagnóstico
20004656,Serviço De Diagnóstico
20004702,Serviço De Diagnóstico
20004710,Serviço De Diagnóstico
20004770,Serviço De Diagnóstico
20004850,Serviço De Diagnóstico
20004885,Serviço De Diagnóstico
20004940,Serviço De Diagnóstico
20004982,Serviço De Diagnóstico
20005008,Serviço De Diagnóstico
20005180,Serviço De Diagnóstico
20005210,Serviço De Diagnóstico
20005245,Serviço De Diagnóstico
20005288,Consultório Médico/Clínica
20005296,Serviço De Diagnóstico
20005342,Consultório Médico/Clínica
20005342,Serviço De Terapia
20005350,Serviço De Diagnóstico
20005695,Serviço De Diagnóstico
20005768,Serviço De Diagnóstico
20005822,Serviço De Diagnóstico
20006020,Serviço De Diagnóstico
20006055,Serviço De Diagnóstico
20006071,Serviço De Diagnóstico
20006110,Serviço De Diagnóstico
20006241,Serviço De Diagnóstico
20007990,Serviço De Diagnóstico
20008031,Consultório Médico/Clínica
20008112,Serviço De Diagnóstico
20008120,Serviço De Diagnóstico
20008171,Serviço De Diagnóstico
20008180,Serviço De Diagnóstico
20008244,Serviço De Diagnóstico
20008279,Consultório Médico/Clínica
20008287,Serviço De Diagnóstico
20008368,Consultório Médico/Clínica
20008368,Serviço De Diagnóstico
20008422,Serviço De Diagnóstico
20008538,Serviço De Diagnóstico
20008759,Serviço De Diagnóstico
20008791,Serviço De Diagnóstico
20008953,Consultório Médico/Clínica
20009607,Serviço De Diagnóstico
20010435,Serviço De Diagnóstico
20010443,Serviço De Diagnóstico
20010532,Serviço De Diagnóstico
20010710,Serviço De Diagnóstico
20010770,Serviço De Diagnóstico
20010915,Serviço De Diagnóstico
20011083,Serviço De Diagnóstico
20011130,Serviço De Diagnóstico
20011237,Serviço De Diagnóstico
20011474,Serviço De Diagnóstico
20011520,Serviço De Diagnóstico
20011547,Serviço De Diagnóstico
20011687,Serviço De Diagnóstico
20011733,Serviço De Diagnóstico
20011962,Serviço De Diagnóstico
20012047,Serviço De Diagnóstico
20012179,Serviço De Diagnóstico
20012365,Serviço De Diagnóstico
20012420,Serviço De Diagnóstico
20012497,Serviço De Diagnóstico
20012500,Serviço De Diagnóstico
20012578,Serviço De Diagnóstico
20012594,Serviço De Diagnóstico
20012667,Serviço De Diagnóstico
20012829,Serviço De Diagnóstico
20013132,Consultório Médico/Clínica
20013132,Serviço De Diagnóstico
20013221,Serviço De Diagnóstico
20013248,Serviço De Diagnóstico
20013272,Serviço De Diagnóstico
20013280,Serviço De Diagnóstico
20013531,Serviço De Diagnóstico
20014236,Serviço De Diagnóstico
20014562,Consultório Médico/Clínica
20014562,Serviço De Diagnóstico
20045069,Serviço De Diagnóstico
20045085,Serviço De Diagnóstico
20045107,Serviço De Diagnóstico
20045166,Serviço De Diagnóstico
20045247,Serviço De Diagnóstico
20045263,Serviço De Diagnóstico
20045310,Serviço De Diagnóstico
20045808,Serviço De Diagnóstico
20046049,Serviço De Diagnóstico
20046766,Serviço De Diagnóstico
20058594,Serviço De Diagnóstico
20059701,Serviço De Diagnóstico
20059787,Consultório Médico/Clínica
20059787,Serviço De Diagnóstico
20059787,Serviço De Terapia
20060076,Serviço De Diagnóstico
20060181,Consultório Médico/Clínica
20060181,Serviço De Diagnóstico
20060289,Serviço De Diagnóstico
20060394,Serviço De Diagnóstico
20060491,Serviço De Terapia
20060513,Serviço De Diagnóstico
20060599,Serviço De Diagnóstico
20060629,Serviço De Diagnóstico
20060637,Serviço De Diagnóstico
20060815,Serviço De Diagnóstico
20061099,Serviço De Diagnóstico
20061838,Serviço De Diagnóstico
20061870,Consultório Médico/Clínica
20061870,Serviço De Diagnóstico
20062052,Serviço De Diagnóstico
20064063,Serviço De Diagnóstico
20064381,Serviço De Diagnóstico
20064543,Consultório Médico/Clínica
20064543,Serviço De Diagnóstico
20068158,Serviço De Diagnóstico
20068174,Serviço De Diagnóstico
20068204,Consultório Médico/Clínica
20068255,Serviço De Diagnóstico
20068557,Serviço De Diagnóstico
20068565,Serviço De Diagnóstico
20068646,Serviço De Diagnóstico
20068824,Serviço De Diagnóstico
20068867,Serviço De Diagnóstico
20069030,Serviço De Diagnóstico
20069103,Serviço De Diagnóstico
20069219,Serviço De Diagnóstico
20069723,Serviço De Diagnóstico
20069758,Serviço De Diagnóstico
20069766,Serviço De Diagnóstico
20069774,Serviço De Diagnóstico
20069804,Serviço De Diagnóstico
20069820,Serviço De Diagnóstico
20070152,Serviço De Diagnóstico
20070179,Serviço De Diagnóstico
20070330,Serviço De Diagnóstico
20070349,Serviço De Diagnóstico
20070420,Serviço De Diagnóstico
20070586,Serviço De Diagnóstico
20070713,Serviço De Diagnóstico
20070748,Serviço De Diagnóstico
20070896,Consultório Médico/Clínica
20071019,Consultório Médico/Clínica
20071019,Serviço De Diagnóstico
20071043,Consultório Médico/Clínica
20071043,Serviço De Diagnóstico
20071124,Serviço De Diagnóstico
20071140,Serviço De Diagnóstico
20071213,Serviço De Diagnóstico
20071418,Serviço De Diagnóstico
20071434,Serviço De Diagnóstico
20071574,Serviço De Diagnóstico
20071590,Consultório Médico/Clínica
20071590,Serviço De Diagnóstico
20075472,Serviço De Diagnóstico
20075510,Serviço De Diagnóstico
20075596,Serviço De Diagnóstico
20075782,Serviço De Diagnóstico
20076371,Serviço De Diagnóstico
20076827,Serviço De Diagnóstico
20076983,Serviço De Diagnóstico
20077165,Serviço De Diagnóstico
20077238,Serviço De Diagnóstico
20077289,Serviço De Diagnóstico
20077300,Serviço De Diagnóstico
20077386,Serviço De Diagnóstico
20077408,Serviço De Diagnóstico
20077521,Serviço De Diagnóstico
20077530,Serviço De Diagnóstico
20084722,Consultório Médico/Clínica
20084994,Serviço De Diagnóstico
20085036,Serviço De Diagnóstico
20085079,Serviço De Diagnóstico
20085273,Serviço De Diagnóstico
20085613,Serviço De Diagnóstico
20085850,Serviço De Diagnóstico
20085931,Serviço De Diagnóstico
20085974,Serviço De Diagnóstico
20086091,Serviço De Diagnóstico
20086172,Serviço De Diagnóstico
20086512,Serviço De Diagnóstico
20086563,Serviço De Diagnóstico
20086636,Serviço De Diagnóstico
20086695,Serviço De Diagnóstico
20086733,Serviço De Diagnóstico
20086849,Serviço De Diagnóstico
20086911,Serviço De Diagnóstico
20087012,Serviço De Diagnóstico
20087160,Serviço De Diagnóstico
20087217,Consultório Médico/Clínica
20087217,Serviço De Diagnóstico
20088205,Serviço De Diagnóstico
20088442,Serviço De Diagnóstico
20088680,Serviço De Diagnóstico
20088965,Serviço De Diagnóstico
20089082,Serviço De Diagnóstico
20089090,Serviço De Diagnóstico
20089368,Serviço De Diagnóstico
20089430,Serviço De Diagnóstico
20089783,Consultório Médico/Clínica
20089864,Consultório Médico/Clínica
20089864,Serviço De Diagnóstico
20089864,Serviço De Terapia
20090439,Serviço De Diagnóstico
20090749,Serviço De Terapia
20091222,Serviço De Diagnóstico
20094345,Serviço De Diagnóstico
20094779,Serviço De Diagnóstico
20099380,Serviço De Diagnóstico
20099770,Serviço De Diagnóstico
20099827,Serviço De Diagnóstico
20101040,Serviço De Diagnóstico
20101147,Serviço De Diagnóstico
20101805,Serviço De Diagnóstico
20101929,Serviço De Diagnóstico
20101961,Serviço De Diagnóstico
20102461,Consultório Médico/Clínica
20102780,Serviço De Diagnóstico
20102860,Serviço De Diagnóstico
20110634,Serviço De Diagnóstico
20111427,Serviço De Diagnóstico
20111438,Serviço De Diagnóstico
20111445,Serviço De Diagnóstico
20111452,Consultório Médico/Clínica
20111452,Serviço De Diagnóstico
20111454,Serviço De Diagnóstico
20111455,Serviço De Diagnóstico
20111456,Consultório Médico/Clínica
20111456,Serviço De Diagnóstico
20111457,Serviço De Diagnóstico
20111460,Serviço De Diagnóstico
20111467,Serviço De Diagnóstico
20111468,Serviço De Diagnóstico
20111470,Serviço De Diagnóstico
20111472,Serviço De Diagnóstico
20111473,Consultório Médico/Clínica
20111473,Serviço De Diagnóstico
20111474,Serviço De Diagnóstico
20111478,Serviço De Diagnóstico
20111484,Serviço De Diagnóstico
20111485,Consultório Médico/Clínica
20111485,Serviço De Terapia
20111490,Serviço De Diagnóstico
20111497,Serviço De Diagnóstico
20111507,Serviço De Diagnóstico
20111510,Consultório Médico/Clínica
20111516,Consultório Médico/Clínica
20111516,Serviço De Diagnóstico
20111534,Serviço De Diagnóstico
20111537,Serviço De Diagnóstico
20111544,Serviço De Diagnóstico
20111549,Serviço De Diagnóstico
20111552,Serviço De Diagnóstico
20111554,Serviço De Diagnóstico
20111558,Serviço De Diagnóstico
20111561,Serviço De Diagnóstico
20111563,Serviço De Diagnóstico
20111566,Serviço De Diagnóstico
20111578,Serviço De Diagnóstico
20111579,Serviço De Diagnóstico
20111589,Serviço De Diagnóstico
20111598,Serviço De Diagnóstico
20111608,Serviço De Diagnóstico
20111613,Serviço De Diagnóstico
20111620,Serviço De Diagnóstico
20111627,Serviço De Diagnóstico
20111630,Serviço De Diagnóstico
20111636,Serviço De Diagnóstico
20111640,Serviço De Diagnóstico
20111643,Serviço De Diagnóstico
20111657,Serviço De Diagnóstico
20111662,Serviço De Diagnóstico
20111670,Serviço De Diagnóstico
20111672,Serviço De Diagnóstico
20111674,Serviço De Diagnóstico
20111684,Serviço De Diagnóstico
20111686,Serviço De Diagnóstico
20111692,Serviço De Diagnóstico
20111695,Serviço De Diagnóstico
20111697,Serviço De Diagnóstico
20111698,Serviço De Diagnóstico
20111708,Serviço De Diagnóstico
20111713,Serviço De Diagnóstico
20111714,Serviço De Diagnóstico
20111722,Serviço De Diagnóstico
20111741,Serviço De Diagnóstico
20111742,Serviço De Diagnóstico
20111747,Serviço De Diagnóstico
20111754,Serviço De Diagnóstico
20111759,Serviço De Diagnóstico
20111761,Serviço De Diagnóstico
20111768,Serviço De Diagnóstico
20111770,Serviço De Diagnóstico
20111772,Serviço De Diagnóstico
20111773,Serviço De Diagnóstico
20111779,Serviço De Diagnóstico
20111782,Serviço De Diagnóstico
20111788,Serviço De Diagnóstico
20111805,Serviço De Diagnóstico
20111810,Consultório Médico/Clínica
20111810,Serviço De Diagnóstico
20111810,Serviço De Terapia
20111812,Serviço De Diagnóstico
20111825,Serviço De Diagnóstico
20111861,Serviço De Diagnóstico
20111872,Serviço De Diagnóstico
20111874,Consultório Médico/Clínica
20111884,Serviço De Diagnóstico
20111885,Consultório Médico/Clínica
20111889,Serviço De Diagnóstico
20111892,Serviço De Diagnóstico
20111892,Vacinas
20111893,Serviço De Diagnóstico
20111894,Serviço De Diagnóstico
20111895,Serviço De Diagnóstico
20111903,Serviço De Diagnóstico
20111904,Serviço De Diagnóstico
20111908,Serviço De Diagnóstico
20111928,Serviço De Diagnóstico
20111929,Serviço De Diagnóstico
20111932,Serviço De Diagnóstico
20111938,Serviço De Diagnóstico
20111939,Serviço De Diagnóstico
20111944,Serviço De Diagnóstico
20111946,Serviço De Diagnóstico
20111950,Serviço De Diagnóstico
20111951,Serviço De Diagnóstico
20111962,Serviço De Diagnóstico
20111976,Consultório Médico/Clínica
20111977,Serviço De Diagnóstico
20111983,Serviço De Diagnóstico
20111987,Serviço De Diagnóstico
20111989,Serviço De Diagnóstico
20111994,Serviço De Diagnóstico
20111996,Serviço De Diagnóstico
20112001,Serviço De Diagnóstico
20112001,Vacinas
20112003,Serviço De Diagnóstico
20112009,Serviço De Diagnóstico
20112011,Serviço De Diagnóstico
20112014,Serviço De Diagnóstico
20112016,Serviço De Diagnóstico
20112018,Serviço De Diagnóstico
20112036,Consultório Médico/Clínica
20112036,Serviço De Terapia
20112044,Serviço De Diagnóstico
20112046,Serviço De Diagnóstico
20112048,Serviço De Diagnóstico
20112056,Serviço De Diagnóstico
20112060,Serviço De Diagnóstico
20112066,Serviço De Diagnóstico
20112069,Serviço De Diagnóstico
20112071,Serviço De Diagnóstico
20112073,Serviço De Diagnóstico
20112076,Serviço De Diagnóstico
20112088,Serviço De Diagnóstico
20112092,Serviço De Diagnóstico
20112093,Serviço De Diagnóstico
20112095,Serviço De Diagnóstico
20112096,Serviço De Diagnóstico
20112105,Consultório Médico/Clínica
20112105,Serviço De Diagnóstico
20112107,Serviço De Diagnóstico
20112108,Serviço De Diagnóstico
20112109,Serviço De Diagnóstico
20112124,Serviço De Diagnóstico
20112130,Serviço De Diagnóstico
20112134,Serviço De Diagnóstico
20112143,Serviço De Diagnóstico
20112153,Serviço De Diagnóstico
20112155,Serviço De Diagnóstico
20112165,Serviço De Diagnóstico
20112167,Serviço De Diagnóstico
20112172,Serviço De Diagnóstico
20112175,Serviço De Diagnóstico
20112183,Serviço De Diagnóstico
20112185,Serviço De Diagnóstico
20112192,Serviço De Diagnóstico
20112199,Serviço De Diagnóstico
20112200,Serviço De Diagnóstico
20112202,Serviço De Diagnóstico
20112204,Serviço De Diagnóstico
20112207,Serviço De Diagnóstico
20112209,Serviço De Diagnóstico
20112210,Serviço De Diagnóstico
20112211,Serviço De Diagnóstico
20112216,Serviço De Diagnóstico
20112219,Serviço De Diagnóstico
20112229,Serviço De Diagnóstico
20112240,Serviço De Diagnóstico
20112244,Serviço De Diagnóstico
20112255,Serviço De Diagnóstico
20112257,Serviço De Diagnóstico
20112259,Serviço De Diagnóstico
20112260,Serviço De Diagnóstico
20112264,Serviço De Diagnóstico
20112269,Serviço De Diagnóstico
20112270,Serviço De Diagnóstico
20112275,Serviço De Diagnóstico
20112278,Serviço De Diagnóstico
20112283,Serviço De Diagnóstico
20112284,Serviço De Diagnóstico
20112293,Serviço De Diagnóstico
20112295,Serviço De Diagnóstico
20112296,Serviço De Diagnóstico
20112297,Serviço De Diagnóstico
20112299,Serviço De Diagnóstico
20112301,Serviço De Diagnóstico
20112308,Serviço De Diagnóstico
20112319,Serviço De Diagnóstico
20112320,Serviço De Diagnóstico
20112326,Serviço De Diagnóstico
20112327,Serviço De Diagnóstico
20112328,Serviço De Diagnóstico
20112341,Serviço De Diagnóstico
20112346,Serviço De Diagnóstico
20112348,Serviço De Diagnóstico
20112353,Serviço De Diagnóstico
20112366,Serviço De Diagnóstico
20112390,Serviço De Diagnóstico
20112405,Serviço De Diagnóstico
20112407,Serviço De Diagnóstico
20112416,Serviço De Diagnóstico
20112417,Serviço De Diagnóstico
20112419,Serviço De Diagnóstico
20112423,Serviço De Diagnóstico
20112426,Serviço De Diagnóstico
20112433,Serviço De Diagnóstico
20112448,Serviço De Diagnóstico
20112453,Serviço De Diagnóstico
20112461,Serviço De Diagnóstico
20112462,Serviço De Diagnóstico
20112502,Serviço De Diagnóstico
20112513,Serviço De Diagnóstico
20112520,Pronto-Socorro
20112520,Serviço De Diagnóstico
20112521,Serviço De Diagnóstico
20112525,Serviço De Diagnóstico
20112529,Serviço De Diagnóstico
20112532,Serviço De Diagnóstico
20112534,Serviço De Diagnóstico
20112537,Serviço De Diagnóstico
20112542,Serviço De Diagnóstico
20112547,Serviço De Diagnóstico
20112550,Serviço De Diagnóstico
20112551,Serviço De Diagnóstico
20112558,Serviço De Diagnóstico
20112563,Serviço De Diagnóstico
20112565,Serviço De Diagnóstico
