contract,network,type
10061409,Master Ouro,Credenciado Direto
10066656,Master Ouro,Credenciado Direto
10070532,Master Ouro,Credenciado Direto
10071067,Master Ouro,Credenciado Direto
10072845,Master Ouro,Credenciado Direto
10075291,Master Ouro,Credenciado Direto
10078355,Master Ouro,Credenciado Direto
10078592,Master Ouro,Credenciado Direto
10089020,Master Ouro,Credenciado Direto
10091734,Master Ouro,Credenciado Direto
10093982,Master Ouro,Credenciado Direto
10094539,Master Ouro,Credenciado Direto
10096582,Master Ouro,Credenciado Direto
10097953,Master Ouro,Credenciado Direto
10100008,Master Ouro,Credenciado Direto
10103821,Master Ouro,Credenciado Direto
10111700,Master Ouro,Credenciado Direto
10116982,Master Ouro,Credenciado Direto
10125159,Master Ouro,Credenciado Direto
10141251,Master Ouro,Credenciado Direto
10141685,Master Ouro,Credenciado Direto
10146822,Master Ouro,Credenciado Direto
10176802,Master Ouro,Credenciado Direto
10186492,Master Ouro,Credenciado Direto
10187880,Master Ouro,Credenciado Direto
10192620,Master Ouro,Credenciado Direto
10201629,Master Ouro,Credenciado Direto
10238409,Master Ouro,Credenciado Direto
10239278,Master Ouro,Credenciado Direto
10242732,Master Ouro,Credenciado Direto
10254463,Master Ouro,Credenciado Direto
10279822,Master Ouro,Credenciado Direto
10281800,Master Ouro,Credenciado Direto
10290770,Master Ouro,Credenciado Direto
10308822,Master Ouro,Credenciado Direto
10322345,Master Ouro,Credenciado Direto
10325263,Master Ouro,Credenciado Direto
10327584,Master Ouro,Credenciado Direto
10345590,Master Ouro,Credenciado Direto
10387943,Master Ouro,Credenciado Direto
10391355,Master Ouro,Credenciado Direto
10391797,Master Ouro,Credenciado Direto
10392041,Master Ouro,Credenciado Direto
10413103,Master Ouro,Credenciado Direto
10441026,Master Ouro,Credenciado Direto
12003182,Master Ouro,Credenciado Direto
19301477,Master Ouro,Credenciado Direto
19301683,Master Ouro,Credenciado Direto
19301868,Master Ouro,Credenciado Direto
19301987,Master Ouro,Credenciado Direto
19302032,Master Ouro,Credenciado Direto
19302136,Master Ouro,Credenciado Direto
19302466,Master Ouro,Credenciado Direto
19302522,Master Ouro,Credenciado Direto
19302683,Master Ouro,Credenciado Direto
19302793,Master Ouro,Credenciado Direto
19304499,Master Ouro,Credenciado Direto
19304709,Master Ouro,Credenciado Direto
19304856,Master Ouro,Credenciado Direto
19305007,Master Ouro,Credenciado Direto
19305011,Master Ouro,Credenciado Direto
19305920,Master Ouro,Credenciado Direto
19305941,Master Ouro,Credenciado Direto
19305972,Master Ouro,Credenciado Direto
19305984,Master Ouro,Credenciado Direto
19306097,Master Ouro,Credenciado Direto
19306265,Master Ouro,Credenciado Direto
19306393,Master Ouro,Credenciado Direto
19306651,Master Ouro,Credenciado Direto
19307076,Master Ouro,Credenciado Direto
19307256,Master Ouro,Credenciado Direto
19307297,Master Ouro,Credenciado Direto
19307311,Master Ouro,Credenciado Direto
19307337,Master Ouro,Credenciado Direto
19307397,Master Ouro,Credenciado Direto
19307403,Master Ouro,Credenciado Direto
20000017,Master Ouro,Hospitais
20000574,Master Ouro,Diagnósticos
20000590,Master Ouro,Diagnósticos
20001998,Master Ouro,Diagnósticos
20001999,Master Ouro,Diagnósticos
20002119,Master Ouro,Diagnósticos
20002232,Master Ouro,Diagnósticos
20002313,Master Ouro,Diagnósticos
20002364,Master Ouro,Diagnósticos
20002445,Master Ouro,Diagnósticos
20002470,Master Ouro,Diagnósticos
20002488,Master Ouro,Diagnósticos
20002500,Master Ouro,Diagnósticos
20002607,Master Ouro,Clinicas
20002658,Master Ouro,Diagnósticos
20002763,Master Ouro,Diagnósticos
20002798,Master Ouro,Diagnósticos
20002941,Master Ouro,Clinicas
20002984,Master Ouro,Diagnósticos
20003439,Master Ouro,Diagnósticos
20003463,Master Ouro,Diagnósticos
20003510,Master Ouro,Clinicas
20003552,Master Ouro,Diagnósticos
20003684,Master Ouro,Diagnósticos
20003730,Master Ouro,Diagnósticos
20003862,Master Ouro,Diagnósticos
20003870,Master Ouro,Diagnósticos
20003889,Master Ouro,Diagnósticos
20003935,Master Ouro,Diagnósticos
20004001,Master Ouro,Clinicas
20004095,Master Ouro,Diagnósticos
20004150,Master Ouro,Diagnósticos
20004273,Master Ouro,Diagnósticos
20004303,Master Ouro,Diagnósticos
20004400,Master Ouro,Diagnósticos
20004460,Master Ouro,Diagnósticos
20004478,Master Ouro,Diagnósticos
20004516,Master Ouro,Diagnósticos
20004524,Master Ouro,Diagnósticos
