contract,specialty,is_primary
10061409,Endocrinologia,True
10066656,Pediatria,True
10070532,Ginecologia / Obstetricia,True
10070532,Mastologia,False
10071067,Cardiologia,True
10071067,Clínica Médica,False
10072845,Cardiologia,True
10073990,Nefrologia,False
10073990,Nefrologia Pediatrica,True
10075291,Clinica Medica,True
10075291,Clínica Médica,False
10078355,Cardiologia,True
10078592,Urologia,True
10089020,Ginecologia,False
10089020,Ginecologia / Obstetricia,True
10089543,Ginecologia,False
10089543,Ginecologia / Obstetricia,True
10091734,Ginecologia,False
10091734,Ginecologia / Obstetricia,True
10093982,Pediatria,True
10094539,Ginecologia,False
10094539,Ginecologia / Obstetricia,True
10096582,Clinica Medica,True
10096582,Endocrinologia,False
10097953,Oftalmologia,True
10099824,Oftalmologia,True
10100008,Angiologia / Cirurgia Vascular,True
10100008,Ortopedia E Traumatologia,False
10103821,Homeopatia,True
10103821,Homeopatia Pediatrica,False
10103821,Pediatria,False
10111700,Psiquiatria,True
10116982,Oftalmologia,True
10125159,Cardiologia,True
10125159,Cirurgia Cardiovascular,False
10141251,Cardiologia,True
10141251,Clínica Médica,False
10141685,Clínica Médica,False
10141685,Pneumologia,True
10146822,Pediatria,True
10176802,Angiologia / Cirurgia Vascular,True
10176802,Fisioterapia,False
10176802,Ortopedia E Traumatologia,False
10186492,Dermatologia,True
10187880,Ginecologia,False
10187880,Ginecologia / Obstetricia,True
10192620,Cardiologia,True
10192620,Clínica Médica,False
10201629,Psiquiatria,True
10238409,Cirurgia Da Mao,False
10238409,Cirurgia Geral,False
10238409,Ortopedia E Traumatologia,True
10239278,Clinica Medica,True
10239278,Clínica Médica,False
10239278,Pneumologia,False
10242732,Dermatologia,True
10254463,Pediatria,True
10279822,Pediatria,True
10281800,Cirurgia Pediatrica,False
10281800,Pediatria,True
10290770,Homeopatia,True
10290770,Pediatria,False
10308822,Angiologia / Cirurgia Vascular,True
10322345,Homeopatia,True
10322345,Pediatria,False
10325263,Dermatologia,True
