contract,network,type,rating,total_ratings,website,google_url,name,phone_number,status
10061409,Master Ouro,Credenciado Direto,2.3,12,,https://maps.google.com/?cid=9359172268025377420,Dr Nicolau Lima Neto,(11) 91155-9595,OPERATIONAL
10066656,Master Ouro,Credenciado Direto,5.0,12,,https://maps.google.com/?cid=11368421548151006529,Doctor Grupo,(21) 3349-7677,OPERATIONAL
10070532,Master Ouro,Credenciado Direto,5.0,10,,https://maps.google.com/?cid=13525981368263611349,Dr Osmar Zaitz,,OPERATIONAL
10071067,Master Ouro,Credenciado Direto,5.0,13,,https://maps.google.com/?cid=12100180326006791025,Dr. Álvaro Morgado,(21) 2671-2295,CLOSED_PERMANENTLY
10072845,Master Ouro,Credenciado Direto,4.9,65,http://www.lobatocirurgiavascular.com.br/,https://maps.google.com/?cid=11882630876915853405,Dr. Manoel Lobato Cirurgia Vascular,(11) 3168-0609,OPERATIONAL
10075291,Master Ouro,Credenciado Direto,5.0,1,,https://maps.google.com/?cid=10151614887105244317,Dr. José Carlos Lino da Silva,(21) 2240-7495,OPERATIONAL
10078355,Master Ouro,Credenciado Direto,5.0,11,,https://maps.google.com/?cid=15855352434861867364,Hélio de Oliveira Castro Fº,,OPERATIONAL
10078592,Master Ouro,Credenciado Direto,5.0,1,http://business.google.com/website/paumad,https://maps.google.com/?cid=9368348995785776531,Paumad - Pronto Atendimento Urologico de Madureira,(21) 2450-1531,OPERATIONAL
10089020,Master Ouro,Credenciado Direto,,0,,https://maps.google.com/?cid=8645052693015895571,Clinel Pediatria,(11) 2221-0926,OPERATIONAL
10091734,Master Ouro,Credenciado Direto,4.7,9,,https://maps.google.com/?cid=15550850769599265161,Maria Helena Setsuko Morita,(11) 3082-4037,OPERATIONAL
10093982,Master Ouro,Credenciado Direto,4.2,5,,https://maps.google.com/?cid=2504010660552564203,Consultório Dra Laís Delduque Vieira Machado,(21) 2423-4280,OPERATIONAL
10094539,Master Ouro,Credenciado Direto,3.8,25,,https://maps.google.com/?cid=5949931990215404665,Consultórios Especializados,(11) 3934-3939,OPERATIONAL
10096582,Master Ouro,Credenciado Direto,5.0,22,https://draanapaulapirro.negocio.site/?utm_source=gmb&utm_medium=referral,https://maps.google.com/?cid=3395367216691219727,Dra. Ana Paula Rodrigues Pirró Endocrinologia /Acupuntura,(11) 94125-2773,OPERATIONAL
10097953,Master Ouro,Credenciado Direto,4.2,25,,https://maps.google.com/?cid=13793463396507566419,Dra. Ginger S. Baranhuk,(65) 3025-2575,OPERATIONAL
10100008,Master Ouro,Credenciado Direto,3.5,8,http://ortopediadaniachi.com.br/,https://maps.google.com/?cid=1096150605159986688,Clinica Ortopedica Ivo Carlos Daniachi,(11) 3085-6834,OPERATIONAL
10103821,Master Ouro,Credenciado Direto,3.3,7,,https://maps.google.com/?cid=18294199587061644006,Chil Korper Zunsztern,(41) 3232-2363,OPERATIONAL
10111700,Master Ouro,Credenciado Direto,4.4,8,,https://maps.google.com/?cid=794312522579342573,Consultório Medico Francisco Assis de Sousa Lima,(11) 4302-2905,OPERATIONAL
10116982,Master Ouro,Credenciado Direto,4.2,30,http://www.molinari.com.br/,https://maps.google.com/?cid=13070787449123402676,Molinari Instituto de Oftalmologia S/C Ltda,(11) 3056-9955,OPERATIONAL
10125159,Master Ouro,Credenciado Direto,5.0,1,https://dr-humberto-benedetti.negocio.site/?utm_source=gmb&utm_medium=referral,https://maps.google.com/?cid=9654948610670597673,Dr. Humberto Benedetti,(11) 3284-4316,OPERATIONAL
10141251,Master Ouro,Credenciado Direto,,0,https://www.doctoralia.com.br/mario-cesar-freire-pessanha/ginecologista/guarulhos?utm_source=google&utm_medium=gmb&utm_campaign=176572,https://maps.google.com/?cid=9045368119666355161,Dr. Mario Cesar Freire Pessanha,,OPERATIONAL
10141685,Master Ouro,Credenciado Direto,3.5,238,https://www.geap.com.br/,https://maps.google.com/?cid=17846454884136364146,Geap Saúde,0800 728 8300,OPERATIONAL
10146822,Master Ouro,Credenciado Direto,4.2,10,,https://maps.google.com/?cid=2303099431204106656,Sandra Alves Cardadeiro,(21) 2501-3318,OPERATIONAL
10176802,Master Ouro,Credenciado Direto,4.5,2,,https://maps.google.com/?cid=2166402350362344492,Cotrin Gelson Felix,(21) 2772-0882,OPERATIONAL
10186492,Master Ouro,Credenciado Direto,5.0,2,,https://maps.google.com/?cid=8145821776277068831,Consultório Medico Ana Maria Pereira Leitao,(11) 3285-3407,OPERATIONAL
10187880,Master Ouro,Credenciado Direto,4.1,24,https://www.doctoralia.com.br/yau-wing-wah/ginecologista/osasco?utm_source=google&utm_medium=gmb&utm_campaign=413480&utm_content=website,https://maps.google.com/?cid=1003642943196152665,"Dr. Yau Wing Wah, Ginecologista",,OPERATIONAL
10192620,Master Ouro,Credenciado Direto,3.0,27,,https://maps.google.com/?cid=12467529219257207170,Clínica Portugal,(21) 2567-9600,OPERATIONAL
10201629,Master Ouro,Credenciado Direto,3.7,3,,https://maps.google.com/?cid=7076138148085923362,Apa Assistência Psiquiátrica Ambulatorial,(11) 2293-5866,OPERATIONAL
10238409,Master Ouro,Credenciado Direto,5.0,1,https://www.doctoralia.com.br/luiz-antonio-panelli-azevedo-marques/ortopedista-traumatologista-medico-do-trabalho/sao-paulo?utm_source=google&utm_medium=gmb&utm_campaign=6146&utm_content=website,https://maps.google.com/?cid=14351445055286608731,"Dr. Luiz Antonio Panelli Azevedo Marques, Ortopedista - Traumatologista",,OPERATIONAL
10239278,Master Ouro,Credenciado Direto,2.0,4,,https://maps.google.com/?cid=6827751652254694579,Rogério de Mattos Bartholo,(21) 2281-9894,OPERATIONAL
10242732,Master Ouro,Credenciado Direto,3.7,3,,https://maps.google.com/?cid=11184116348091358515,Dra. Nancy Frimer Czapnik,(21) 2513-3424,OPERATIONAL
10254463,Master Ouro,Credenciado Direto,5.0,1,,https://maps.google.com/?cid=8483728724398764039,Sérgio Kishio Morioka,(11) 3931-3921,OPERATIONAL
10279822,Master Ouro,Credenciado Direto,5.0,7,,https://maps.google.com/?cid=5661643714807063531,Dr. Antônio Carlos da Silveira,(11) 2601-0913,OPERATIONAL
10281800,Master Ouro,Credenciado Direto,4.1,8,http://www.anaclaudiatomaz.com.br/,https://maps.google.com/?cid=17766303608267440711,"Dra. Ana Claudia Garcia Scimini Tomaz, Pediatra",(11) 2409-5698,OPERATIONAL
10290770,Master Ouro,Credenciado Direto,5.0,4,,https://maps.google.com/?cid=1567934897680257873,Maria Helena Paiva de Jesus,(21) 2558-8569,OPERATIONAL
10308822,Master Ouro,Credenciado Direto,5.0,9,,https://maps.google.com/?cid=12783293204769255791,Consultório Dr Alexandre Pace Stehling,(31) 3281-9600,OPERATIONAL
10322345,Master Ouro,Credenciado Direto,1.0,1,,https://maps.google.com/?cid=17375892154540716765,Dra. Miriam Tereza G. Machado,(21) 2667-0434,OPERATIONAL
10325263,Master Ouro,Credenciado Direto,,0,,https://maps.google.com/?cid=530683656572809888,Helena M S Bahia,(31) 3281-2159,OPERATIONAL
10327584,Master Ouro,Credenciado Direto,2.2,31,https://clinicapassarelli.com.br/,https://maps.google.com/?cid=2368405405360195312,Clínica Cardiológica Passarelli,(11) 4994-0811,OPERATIONAL
